invalid,6588
null,28
valid-1222,95
valid-1223,94
valid-1224,34
valid-1225,88
valid-1226,97
valid-1227,437
valid-1228,116
valid-1229,297
valid-1230,99
valid-1231,103
valid-1232,110
valid-1233,51
valid-1234,145
valid-1235,5
valid-1236,18
valid-1237,230
valid-1238,107
valid-1239,90
valid-1240,81
valid-1241,236
valid-1242,53
valid-1243,46
valid-1244,57
valid-1245,18
valid-1246,16
valid-1247,27
valid-1248,60
valid-1249,48
valid-1250,22
valid-1251,33
valid-1252,28
valid-1253,45
valid-1254,4
valid-1255,45
valid-1256,215
valid-1257,30
valid-1258,12
valid-1259,4
valid-1260,5
valid-1261,297
valid-1262,3
valid-1263,37
valid-1264,57
valid-1265,19
valid-1266,189
valid-1267,40
valid-1269,7
valid-1270,32
valid-1271,98
valid-1272,51
valid-1273,85
valid-1274,10
valid-1275,20
valid-1276,21
valid-1277,194
valid-1278,9
valid-1279,8
valid-1280,8
valid-1286,245
valid-1288,61
valid-1289,29
valid-1290,14
valid-1291,308
valid-1292,271
valid-1293,165
valid-1294,155
valid-1295,165
valid-1296,5
valid-1297,1
valid-1300,1
valid-1301,15
valid-1302,4
valid-1305,13
valid-1306,3
valid-1307,20
valid-1314,28
valid-1317,378
valid-1318,136
valid-1319,64
valid-1320,149
valid-1321,81
valid-1322,172
valid-1323,92
valid-1324,73
valid-1325,43
valid-1326,1
valid-1327,32
valid-1333,163
valid-1334,84
valid-1335,95
valid-1336,87
valid-1337,89
valid-1338,77
valid-1339,79
valid-1340,83
valid-1341,77
valid-1342,10
valid-1502,210
valid-1505,226
valid-1507,104
valid-1508,86
valid-1510,53
valid-1511,1
valid-1513,144